ocean_time,s_rho,lon_rho,lat_rho,dist_mile,salt,date
2019-01-01,-0.96875,-75.54399878947552,39.547222704770654,57.34534328770376,0.5137494,2019-01-01
2019-01-02,-0.96875,-75.54999284992157,39.56969966215674,58.92593188694961,0.51486117,2019-01-02
2019-01-03,-0.96875,-75.56161082183591,39.47596290283312,52.43781184841355,0.5141355,2019-01-03
2019-01-04,-0.96875,-75.5615148990824,39.46517145288857,51.66301558507331,0.5154065,2019-01-04
2019-01-05,-0.96875,-75.5490809661033,39.55328950233535,57.77905939946185,0.5131895,2019-01-05
2019-01-06,-0.96875,-75.55112583642088,39.49626881266907,53.78051417349636,0.5149688,2019-01-06
2019-01-07,-0.96875,-75.55558851612241,39.47718338987189,52.4354288067599,0.5123873,2019-01-07
2019-01-08,-0.96875,-75.5610184469298,39.461621877478535,51.422493392436365,0.51139367,2019-01-08
2019-01-09,-0.96875,-75.5528747000756,39.5118491684065,54.90761434570327,0.516751,2019-01-09
2019-01-10,-0.96875,-75.52932704369148,39.42942059099923,48.51441329507831,0.5141857,2019-01-10
2019-01-11,-0.96875,-75.54208351301196,39.55727251850135,58.03232412737616,0.5185684,2019-01-11
2019-01-12,-0.96875,-75.55292217444442,39.507063809171385,54.56999151426305,0.51687926,2019-01-12
2019-01-13,-0.96875,-75.56020236518079,39.47833022033864,52.59199753059094,0.5154023,2019-01-13
2019-01-14,-0.96875,-75.55265201154363,39.51896085121689,55.39662826094568,0.51551986,2019-01-14
2019-01-15,-0.96875,-75.54510165790647,39.55959148209514,58.201258991300406,0.5156374,2019-01-15
2019-01-16,-0.96875,-75.5592404622734,39.57720605675291,59.53934304421048,0.5150243,2019-01-16
2019-01-17,-0.96875,-75.55275655057781,39.52648025768161,55.93887428810087,0.5119908,2019-01-17
2019-01-18,-0.96875,-75.54975949176568,39.53201753368606,56.30536826059116,0.51371646,2019-01-18
2019-01-19,-0.96875,-75.55571051571941,39.591628120317104,60.73641038053712,0.51522136,2019-01-19
2019-01-20,-0.96875,-75.55468535924,39.62674240804706,63.531318295574,0.5135441,2019-01-20
2019-01-21,-0.96875,-75.5618034671646,39.58486010242802,60.15528375240046,0.51571095,2019-01-21
2019-01-22,-0.96875,-75.56379552916282,39.47688558248769,52.503799641279805,0.5162893,2019-01-22
2019-01-23,-0.96875,-75.56019496008486,39.54378452616786,57.24376086249519,0.5152633,2019-01-23
